因子,术数,组,原子,期望值
食伤现,bazi,1,"现[食神,伤官]",1
食伤现,bazi,1,结论,1
食伤现,bazi,1,依据,食伤出现（事实）——子女星判断用
食伤旺,bazi,1,"得令[食神,伤官]",1
食伤旺,bazi,1,结论,1
食伤旺,bazi,1,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,2,"有根[食神,伤官]",1
食伤旺,bazi,2,"透[食神,伤官]",1
食伤旺,bazi,2,结论,1
食伤旺,bazi,2,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
食伤旺,bazi,3,"透[食神,伤官]",1
食伤旺,bazi,3,结论,1
食伤旺,bazi,3,依据,食伤旺衰从其五行月令；透干为显（《子平真诠》）
伤官旺,bazi,1,得令[伤官],1
伤官旺,bazi,1,结论,1
伤官旺,bazi,1,依据,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,2,有根[伤官],1
伤官旺,bazi,2,透[伤官],1
伤官旺,bazi,2,结论,1
伤官旺,bazi,2,依据,伤官旺衰从五行月令（《子平真诠》）
伤官旺,bazi,3,透[伤官],1
伤官旺,bazi,3,结论,1
伤官旺,bazi,3,依据,伤官旺衰从五行月令（《子平真诠》）
食神旺,bazi,1,得令[食神],1
食神旺,bazi,1,结论,1
食神旺,bazi,1,依据,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,2,有根[食神],1
食神旺,bazi,2,透[食神],1
食神旺,bazi,2,结论,1
食神旺,bazi,2,依据,食神旺衰从五行月令（《子平真诠》）
食神旺,bazi,3,透[食神],1
食神旺,bazi,3,结论,1
食神旺,bazi,3,依据,食神旺衰从五行月令（《子平真诠》）
劫财旺,bazi,1,得令[劫财],1
劫财旺,bazi,1,结论,1
劫财旺,bazi,1,依据,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,2,有根[劫财],1
劫财旺,bazi,2,透[劫财],1
劫财旺,bazi,2,结论,1
劫财旺,bazi,2,依据,劫财旺衰从五行月令（《子平真诠》）
劫财旺,bazi,3,透[劫财],1
劫财旺,bazi,3,结论,1
劫财旺,bazi,3,依据,劫财旺衰从五行月令（《子平真诠》）
正印旺,bazi,1,得令[正印],1
正印旺,bazi,1,结论,1
正印旺,bazi,1,依据,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,2,有根[正印],1
正印旺,bazi,2,透[正印],1
正印旺,bazi,2,结论,1
正印旺,bazi,2,依据,正印旺衰从五行月令（《子平真诠》）
正印旺,bazi,3,透[正印],1
正印旺,bazi,3,结论,1
正印旺,bazi,3,依据,正印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,1,得令[偏印],1
偏印旺,bazi,1,结论,1
偏印旺,bazi,1,依据,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,2,有根[偏印],1
偏印旺,bazi,2,透[偏印],1
偏印旺,bazi,2,结论,1
偏印旺,bazi,2,依据,偏印旺衰从五行月令（《子平真诠》）
偏印旺,bazi,3,透[偏印],1
偏印旺,bazi,3,结论,1
偏印旺,bazi,3,依据,偏印旺衰从五行月令（《子平真诠》）
七杀旺,bazi,1,得令[七杀],1
七杀旺,bazi,1,结论,1
七杀旺,bazi,1,依据,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,2,有根[七杀],1
七杀旺,bazi,2,透[七杀],1
七杀旺,bazi,2,结论,1
七杀旺,bazi,2,依据,七杀旺衰从五行月令（《子平真诠》）
七杀旺,bazi,3,透[七杀],1
七杀旺,bazi,3,结论,1
七杀旺,bazi,3,依据,七杀旺衰从五行月令（《子平真诠》）
七杀现,bazi,1,现[七杀],1
七杀现,bazi,1,结论,1
七杀现,bazi,1,依据,七杀出现（事实）——制化判断用
正财旺,bazi,1,得令[正财],1
正财旺,bazi,1,结论,1
正财旺,bazi,1,依据,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,2,有根[正财],1
正财旺,bazi,2,透[正财],1
正财旺,bazi,2,结论,1
正财旺,bazi,2,依据,正财旺衰从五行月令（《子平真诠》）
正财旺,bazi,3,透[正财],1
正财旺,bazi,3,结论,1
正财旺,bazi,3,依据,正财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,1,得令[偏财],1
偏财旺,bazi,1,结论,1
偏财旺,bazi,1,依据,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,2,有根[偏财],1
偏财旺,bazi,2,透[偏财],1
偏财旺,bazi,2,结论,1
偏财旺,bazi,2,依据,偏财旺衰从五行月令（《子平真诠》）
偏财旺,bazi,3,透[偏财],1
偏财旺,bazi,3,结论,1
偏财旺,bazi,3,依据,偏财旺衰从五行月令（《子平真诠》）
比劫旺,bazi,1,"得令[比肩,劫财]",1
比劫旺,bazi,1,结论,1
比劫旺,bazi,1,依据,比劫旺衰从五行月令（《子平真诠》）
比劫旺,bazi,2,"有根[比肩,劫财]",1
比劫旺,bazi,2,"透[比肩,劫财]",1
比劫旺,bazi,2,结论,1
比劫旺,bazi,2,依据,比劫旺衰从五行月令（《子平真诠》）
兄弟星旺,bazi,1,"得令[比肩,劫财]",1
兄弟星旺,bazi,1,结论,1
兄弟星旺,bazi,1,依据,比劫为兄弟，旺衰从五行月令（命理通论）
兄弟星旺,bazi,2,"有根[比肩,劫财]",1
兄弟星旺,bazi,2,"透[比肩,劫财]",1
兄弟星旺,bazi,2,结论,1
兄弟星旺,bazi,2,依据,比劫为兄弟，旺衰从五行月令（命理通论）
比劫重,bazi,1,"得令[比肩,劫财]",1
比劫重,bazi,1,结论,1
比劫重,bazi,1,依据,比劫重=比劫得月令而旺（命理通论）
比劫重,bazi,2,"有根[比肩,劫财]",1
比劫重,bazi,2,"透[比肩,劫财]",1
比劫重,bazi,2,结论,1
比劫重,bazi,2,依据,比劫重=比劫得月令而旺（命理通论）
木旺,bazi,1,旺[木],1
木旺,bazi,1,结论,1
木旺,bazi,1,依据,五行旺衰看月令（《滴天髓》）
火旺,bazi,1,旺[火],1
火旺,bazi,1,结论,1
火旺,bazi,1,依据,五行旺衰看月令
土旺,bazi,1,旺[土],1
土旺,bazi,1,结论,1
土旺,bazi,1,依据,五行旺衰看月令
金旺,bazi,1,旺[金],1
金旺,bazi,1,结论,1
金旺,bazi,1,依据,五行旺衰看月令
水旺,bazi,1,旺[水],1
水旺,bazi,1,结论,1
水旺,bazi,1,依据,五行旺衰看月令
木弱,bazi,1,弱[木],1
木弱,bazi,1,结论,1
木弱,bazi,1,依据,五行休囚为弱
火弱,bazi,1,弱[火],1
火弱,bazi,1,结论,1
火弱,bazi,1,依据,五行休囚为弱
土弱,bazi,1,弱[土],1
土弱,bazi,1,结论,1
土弱,bazi,1,依据,五行休囚为弱
金弱,bazi,1,弱[金],1
金弱,bazi,1,结论,1
金弱,bazi,1,依据,五行休囚为弱
水弱,bazi,1,弱[水],1
水弱,bazi,1,结论,1
水弱,bazi,1,依据,五行休囚为弱
缺木,bazi,1,缺[木],1
缺木,bazi,1,结论,1
缺木,bazi,1,依据,五行缺失
缺火,bazi,1,缺[火],1
缺火,bazi,1,结论,1
缺火,bazi,1,依据,五行缺失
缺土,bazi,1,缺[土],1
缺土,bazi,1,结论,1
缺土,bazi,1,依据,五行缺失
缺金,bazi,1,缺[金],1
缺金,bazi,1,结论,1
缺金,bazi,1,依据,五行缺失
缺水,bazi,1,缺[水],1
缺水,bazi,1,结论,1
缺水,bazi,1,依据,五行缺失
土多,bazi,1,旺[土],1
土多,bazi,1,结论,1
土多,bazi,1,依据,土多=土得月令而旺（《滴天髓》土多类象）
木受克,bazi,1,旺[金],1
木受克,bazi,1,"直读[ri_gan_wx,木]",1
木受克,bazi,1,结论,1
木受克,bazi,1,依据,日主为木，金旺克木（五行相克）
木旺或中和,bazi,1,旺[木],1
木旺或中和,bazi,1,结论,1
木旺或中和,bazi,1,依据,木旺或中和，皆木气舒展（《滴天髓》）
木旺或中和,bazi,2,"直读[yongshen.fu_yi.qiangruo,中和]",1
木旺或中和,bazi,2,结论,1
木旺或中和,bazi,2,依据,木旺或中和，皆木气舒展（《滴天髓》）
印星现,bazi,1,"现[正印,偏印]",1
印星现,bazi,1,结论,1
印星现,bazi,1,依据,印星存在（事实）
印多,bazi,1,"得令[正印,偏印]",1
印多,bazi,1,结论,1
印多,bazi,1,依据,印多=印星得月令而旺（《子平真诠》）
印多,bazi,2,"有根[正印,偏印]",1
印多,bazi,2,"透[正印,偏印]",1
印多,bazi,2,结论,1
印多,bazi,2,依据,印多=印星得月令而旺（《子平真诠》）
印重,bazi,1,"得令[正印,偏印]",1
印重,bazi,1,结论,1
印重,bazi,1,依据,印重=印旺（《子平真诠》）
印重,bazi,2,"有根[正印,偏印]",1
印重,bazi,2,"透[正印,偏印]",1
印重,bazi,2,结论,1
印重,bazi,2,依据,印重=印旺（《子平真诠》）
印星旺,bazi,1,"得令[正印,偏印]",1
印星旺,bazi,1,结论,1
印星旺,bazi,1,依据,印旺衰从五行月令
印星旺,bazi,2,"有根[正印,偏印]",1
印星旺,bazi,2,"透[正印,偏印]",1
